epoch,stage,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,train,3.1509,15.04,2.8319,21.86,1.00e-03,958.5
2,train,2.8753,20.05,2.6568,26.10,1.00e-03,940.3
3,train,2.7980,22.20,2.8555,21.16,1.00e-03,927.9
4,train,2.7366,23.45,2.5348,28.28,1.00e-03,9512.9
5,train,2.7048,24.87,2.6971,24.66,1.00e-03,2485.0
6,train,2.6780,25.84,2.4917,30.10,1.00e-03,2463.3
7,train,2.6289,26.92,2.3541,32.08,1.00e-03,3936.8
8,train,2.5799,28.00,2.4111,31.32,1.00e-03,2306.6
9,train,2.5294,29.16,2.5137,28.47,1.00e-03,2317.0
10,train,2.4889,30.23,2.3157,33.74,1.00e-03,2241.4
11,train,2.4448,31.07,2.3271,33.08,1.00e-03,2245.8
12,train,2.4264,31.56,2.2477,34.56,1.00e-03,2270.3
13,train,2.3825,32.69,2.1960,36.66,1.00e-03,2171.9
14,train,2.3612,32.96,2.3943,31.58,1.00e-03,1216.9
15,train,2.3432,33.57,2.1315,38.94,1.00e-03,926.3
16,train,2.3213,34.26,2.0873,39.58,1.00e-03,914.5
17,train,2.2951,34.91,2.0865,39.13,1.00e-03,921.7
18,train,2.2873,35.03,2.1577,37.23,1.00e-03,920.6
19,train,2.2542,35.68,2.1884,37.86,1.00e-03,922.4
20,train,2.2519,35.77,2.0559,40.36,1.00e-03,919.3
